Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value,Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2021,X,China,Afghanistan,World,TOTAL CPC,TOTAL MOT,850131,144498,9542,,u,7100,u,7100
2021,X,China,Albania,World,TOTAL CPC,TOTAL MOT,850131,128885,8482,,u,765,u,765
2021,X,China,Algeria,World,TOTAL CPC,TOTAL MOT,850131,973904,118862,,u,117287,u,117287
2021,X,China,Andorra,World,TOTAL CPC,TOTAL MOT,850131,214532,787,,u,390,u,390
2021,X,China,Angola,World,TOTAL CPC,TOTAL MOT,850131,655015,113918,,u,14524,u,14524
2021,X,China,Antigua and Barbuda,World,TOTAL CPC,TOTAL MOT,850131,3424,96,,u,33,u,33
2021,X,China,Azerbaijan,World,TOTAL CPC,TOTAL MOT,850131,45911,4461,,u,1511,u,1511
2021,X,China,Argentina,World,TOTAL CPC,TOTAL MOT,850131,2781248,360577,,u,228917,u,228917
2021,X,China,Australia,World,TOTAL CPC,TOTAL MOT,850131,36616850,3354111,,u,873915,u,873915
2021,X,China,Austria,World,TOTAL CPC,TOTAL MOT,850131,29512035,2930927,,u,9239239,u,9239239
2021,X,China,Bahamas,World,TOTAL CPC,TOTAL MOT,850131,2266,71,,u,56,u,56
2021,X,China,Bahrain,World,TOTAL CPC,TOTAL MOT,850131,443166,59098,,u,19887,u,19887
2021,X,China,Bangladesh,World,TOTAL CPC,TOTAL MOT,850131,2679757,288620,,u,888355,u,888355
2021,X,China,Armenia,World,TOTAL CPC,TOTAL MOT,850131,101112,746,,u,1530,u,1530
2021,X,China,Barbados,World,TOTAL CPC,TOTAL MOT,850131,3348,2355,,u,248,u,248
2021,X,China,Belgium,World,TOTAL CPC,TOTAL MOT,850131,23096441,2422275,,u,544643,u,544643
2021,X,China,Bolivia (Plurinational State of),World,TOTAL CPC,TOTAL MOT,850131,107402,19688,,u,7395,u,7395
2021,X,China,Bosnia Herzegovina,World,TOTAL CPC,TOTAL MOT,850131,86411,22074,,u,3967,u,3967
2021,X,China,Botswana,World,TOTAL CPC,TOTAL MOT,850131,356837,40605,,u,3752,u,3752
2021,X,China,Brazil,World,TOTAL CPC,TOTAL MOT,850131,49610476,3676534,,u,3486377,u,3486377
2021,X,China,Belize,World,TOTAL CPC,TOTAL MOT,850131,9947,2343,,u,123,u,123
2021,X,China,Solomon Isds,World,TOTAL CPC,TOTAL MOT,850131,161685,9241,,u,1560,u,1560
2021,X,China,Br. Virgin Isds,World,TOTAL CPC,TOTAL MOT,850131,972,65,,u,4,u,4
2021,X,China,Brunei Darussalam,World,TOTAL CPC,TOTAL MOT,850131,52377,3043,,u,296,u,296
2021,X,China,Bulgaria,World,TOTAL CPC,TOTAL MOT,850131,17603989,544548,,u,175794,u,175794
2021,X,China,Myanmar,World,TOTAL CPC,TOTAL MOT,850131,3362872,776689,,u,50856,u,50856
2021,X,China,Burundi,World,TOTAL CPC,TOTAL MOT,850131,404087,57069,,u,1532,u,1532
2021,X,China,Belarus,World,TOTAL CPC,TOTAL MOT,850131,2057322,254319,,u,247339,u,247339
2021,X,China,Cambodia,World,TOTAL CPC,TOTAL MOT,850131,36540951,5358589,,u,1797138,u,1797138
2021,X,China,Cameroon,World,TOTAL CPC,TOTAL MOT,850131,159532,48891,,u,4724,u,4724
2021,X,China,Canada,World,TOTAL CPC,TOTAL MOT,850131,22748354,1611793,,u,1439681,u,1439681
2021,X,China,Cabo Verde,World,TOTAL CPC,TOTAL MOT,850131,8750,452,,u,80,u,80
2021,X,China,Cayman Isds,World,TOTAL CPC,TOTAL MOT,850131,743,62,,u,80,u,80
2021,X,China,Sri Lanka,World,TOTAL CPC,TOTAL MOT,850131,888492,71915,,u,59134,u,59134
2021,X,China,Chad,World,TOTAL CPC,TOTAL MOT,850131,334527,154641,,u,1362,u,1362
2021,X,China,Chile,World,TOTAL CPC,TOTAL MOT,850131,3511690,349458,,u,57775,u,57775
2021,X,China,Colombia,World,TOTAL CPC,TOTAL MOT,850131,2722802,291344,,u,106875,u,106875
2021,X,China,Comoros,World,TOTAL CPC,TOTAL MOT,850131,450,300,,u,1,u,1
2021,X,China,Congo,World,TOTAL CPC,TOTAL MOT,850131,22370,2366,,u,1519,u,1519
2021,X,China,Dem. Rep. of the Congo,World,TOTAL CPC,TOTAL MOT,850131,244801,73539,,u,1723,u,1723
2021,X,China,Cook Isds,World,TOTAL CPC,TOTAL MOT,850131,35,4,,u,2,u,2
2021,X,China,Costa Rica,World,TOTAL CPC,TOTAL MOT,850131,136053,17854,,u,8305,u,8305
2021,X,China,Croatia,World,TOTAL CPC,TOTAL MOT,850131,432155,38362,,u,5697,u,5697
2021,X,China,Cuba,World,TOTAL CPC,TOTAL MOT,850131,15257,3047,,u,597,u,597
2021,X,China,Cyprus,World,TOTAL CPC,TOTAL MOT,850131,74863,5158,,u,1335,u,1335
2021,X,China,Czechia,World,TOTAL CPC,TOTAL MOT,850131,98344901,6332118,,u,6763304,u,6763304
2021,X,China,Benin,World,TOTAL CPC,TOTAL MOT,850131,1989088,100919,,u,39628,u,39628
2021,X,China,Denmark,World,TOTAL CPC,TOTAL MOT,850131,15443428,1094714,,u,1034708,u,1034708
2021,X,China,Dominican Rep.,World,TOTAL CPC,TOTAL MOT,850131,435668,48656,,u,19100,u,19100
2021,X,China,Ecuador,World,TOTAL CPC,TOTAL MOT,850131,2397211,255065,,u,47167,u,47167
2021,X,China,El Salvador,World,TOTAL CPC,TOTAL MOT,850131,184101,17285,,u,4689,u,4689
2021,X,China,Equatorial Guinea,World,TOTAL CPC,TOTAL MOT,850131,56,6,,u,1,u,1
2021,X,China,Ethiopia,World,TOTAL CPC,TOTAL MOT,850131,2853474,364906,,u,75086,u,75086
2021,X,China,Eritrea,World,TOTAL CPC,TOTAL MOT,850131,12348,918,,u,14,u,14
2021,X,China,Estonia,World,TOTAL CPC,TOTAL MOT,850131,1109156,76138,,u,30199,u,30199
2021,X,China,Fiji,World,TOTAL CPC,TOTAL MOT,850131,173622,14775,,u,1675,u,1675
2021,X,China,Finland,World,TOTAL CPC,TOTAL MOT,850131,3135605,161527,,u,67239,u,67239
2021,X,China,France,World,TOTAL CPC,TOTAL MOT,850131,77921621,3907516,,u,2138294,u,2138294
2021,X,China,French Polynesia,World,TOTAL CPC,TOTAL MOT,850131,73413,11093,,u,534,u,534
2021,X,China,Djibouti,World,TOTAL CPC,TOTAL MOT,850131,1106474,181679,,u,65355,u,65355
2021,X,China,Gabon,World,TOTAL CPC,TOTAL MOT,850131,23288,2106,,u,47,u,47
2021,X,China,Georgia,World,TOTAL CPC,TOTAL MOT,850131,15619,1282,,u,1676,u,1676
2021,X,China,Gambia,World,TOTAL CPC,TOTAL MOT,850131,22287,2713,,u,494,u,494
2021,X,China,State of Palestine,World,TOTAL CPC,TOTAL MOT,850131,12053,1305,,u,528,u,528
2021,X,China,Germany,World,TOTAL CPC,TOTAL MOT,850131,269727978,20773780,,u,30044330,u,30044330
2021,X,China,Ghana,World,TOTAL CPC,TOTAL MOT,850131,975156,155017,,u,18155,u,18155
2021,X,China,Gibraltar,World,TOTAL CPC,TOTAL MOT,850131,125,15,,u,3,u,3
2021,X,China,Kiribati,World,TOTAL CPC,TOTAL MOT,850131,4428,523,,u,17,u,17
2021,X,China,Greece,World,TOTAL CPC,TOTAL MOT,850131,7901889,322497,,u,298003,u,298003
2021,X,China,Grenada,World,TOTAL CPC,TOTAL MOT,850131,152,14,,u,6,u,6
2021,X,China,Guatemala,World,TOTAL CPC,TOTAL MOT,850131,737574,193750,,u,13147,u,13147
2021,X,China,Guinea,World,TOTAL CPC,TOTAL MOT,850131,48226,3878,,u,250,u,250
2021,X,China,Guyana,World,TOTAL CPC,TOTAL MOT,850131,32157,4151,,u,1976,u,1976
2021,X,China,Haiti,World,TOTAL CPC,TOTAL MOT,850131,244555,62714,,u,2920,u,2920
2021,X,China,Honduras,World,TOTAL CPC,TOTAL MOT,850131,390262,108623,,u,5632,u,5632
2021,X,China,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,850131,171404432,13404168,,u,44432920,u,44432920
2021,X,China,Hungary,World,TOTAL CPC,TOTAL MOT,850131,50168485,4575658,,u,4080361,u,4080361
2021,X,China,Iceland,World,TOTAL CPC,TOTAL MOT,850131,28485,2776,,u,344,u,344
2021,X,China,Indonesia,World,TOTAL CPC,TOTAL MOT,850131,23942231,2008941,,u,3493157,u,3493157
2021,X,China,Iran,World,TOTAL CPC,TOTAL MOT,850131,9398145,1262019,,u,2267975,u,2267975
2021,X,China,Iraq,World,TOTAL CPC,TOTAL MOT,850131,1342904,171147,,u,107326,u,107326
2021,X,China,Ireland,World,TOTAL CPC,TOTAL MOT,850131,790074,51759,,u,22849,u,22849
2021,X,China,Israel,World,TOTAL CPC,TOTAL MOT,850131,27879803,2030224,,u,2224363,u,2224363
2021,X,China,Italy,World,TOTAL CPC,TOTAL MOT,850131,152309287,13526490,,u,9850626,u,9850626
2021,X,China,Côte d'Ivoire,World,TOTAL CPC,TOTAL MOT,850131,1379096,87421,,u,24463,u,24463
2021,X,China,Jamaica,World,TOTAL CPC,TOTAL MOT,850131,133685,22449,,u,5228,u,5228
2021,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,263005260,23452290,,u,21178430,u,21178430
2021,X,China,Kazakhstan,World,TOTAL CPC,TOTAL MOT,850131,2057226,298051,,u,136534,u,136534
2021,X,China,Jordan,World,TOTAL CPC,TOTAL MOT,850131,287248,39202,,u,12329,u,12329
2021,X,China,Kenya,World,TOTAL CPC,TOTAL MOT,850131,8890844,737870,,u,172371,u,172371
2021,X,China,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,850131,192275313,13069487,,u,16830550,u,16830550
2021,X,China,Kuwait,World,TOTAL CPC,TOTAL MOT,850131,458166,66844,,u,16087,u,16087
2021,X,China,Kyrgyzstan,World,TOTAL CPC,TOTAL MOT,850131,146488,26925,,u,3828,u,3828
2021,X,China,Lao People's Dem. Rep.,World,TOTAL CPC,TOTAL MOT,850131,3462458,21643,,u,2063,u,2063
2021,X,China,Lebanon,World,TOTAL CPC,TOTAL MOT,850131,643233,99581,,u,25741,u,25741
2021,X,China,Lesotho,World,TOTAL CPC,TOTAL MOT,850131,3614,120,,u,40,u,40
2021,X,China,Latvia,World,TOTAL CPC,TOTAL MOT,850131,518117,35577,,u,45387,u,45387
2021,X,China,Liberia,World,TOTAL CPC,TOTAL MOT,850131,393879,37308,,u,12242,u,12242
2021,X,China,Libya,World,TOTAL CPC,TOTAL MOT,850131,288040,37996,,u,35964,u,35964
2021,X,China,Lithuania,World,TOTAL CPC,TOTAL MOT,850131,12097116,553237,,u,254941,u,254941
2021,X,China,Luxembourg,World,TOTAL CPC,TOTAL MOT,850131,149391,9849,,u,9368,u,9368
2021,X,China,"China, Macao SAR",World,TOTAL CPC,TOTAL MOT,850131,1251338,126446,,u,107662,u,107662
2021,X,China,Madagascar,World,TOTAL CPC,TOTAL MOT,850131,452215,83243,,u,7485,u,7485
2021,X,China,Malawi,World,TOTAL CPC,TOTAL MOT,850131,503349,168716,,u,2887,u,2887
2021,X,China,Malaysia,World,TOTAL CPC,TOTAL MOT,850131,80625931,7354111,,u,17832722,u,17832722
