Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value,Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2004,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,464236771,25556300,,u,99401701,N/A,
2004,X,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,376072131,17238312,,u,15528260,N/A,
2004,M,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,128609541,12554300,,u,84372230,N/A,
2004,X,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,30004437,1757400,,u,1996996,N/A,
2004,M,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,106810031,6111865,,u,5121194,N/A,
2004,X,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,31489538,1344327,,u,1613865,N/A,
2004,M,European Union,"Other Europe, nes",World,TOTAL CPC,TOTAL MOT,850131,18393,2300,,u,1082,N/A,
2004,X,European Union,"Other Europe, nes",World,TOTAL CPC,TOTAL MOT,850131,4141,100,,u,118,N/A,
2004,M,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,74678790,1857700,,u,2017715,N/A,
2004,X,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,117988923,4926400,,u,4142191,N/A,
2004,M,China,World,World,TOTAL CPC,TOTAL MOT,850131,174171866,,,u,33341955,N/A,
2004,X,China,World,World,TOTAL CPC,TOTAL MOT,850131,294330127,,,u,84729029,N/A,
2004,M,China,China,World,TOTAL CPC,TOTAL MOT,850131,25598844,,,u,9777714,N/A,
2004,M,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,45045242,,,u,3547648,N/A,
2004,X,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,109406651,,,u,10562511,N/A,
2004,M,China,USA,World,TOTAL CPC,TOTAL MOT,850131,7767922,,,u,212881,N/A,
2004,X,China,USA,World,TOTAL CPC,TOTAL MOT,850131,47456506,,,u,16165185,N/A,
2004,M,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,209926345,20242870,,u,23957265,N/A,
2004,X,Japan,World,World,TOTAL CPC,TOTAL MOT,850131,412806612,21157018,,u,14963305,N/A,
2004,M,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,88294710,9839272,,u,11836276,N/A,
2004,X,Japan,China,World,TOTAL CPC,TOTAL MOT,850131,30974115,1832983,,u,1471088,N/A,
2004,M,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,17360502,579773,,u,266058,N/A,
2004,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,104303433,3816506,,u,2736512,N/A,
